Title,Description,URL,Instructor,Instructor's Bio,Prerequisites,Additional Information
PredictionX: Omens, Oracles & Prophecies,"This course is an overview of divination systems, ranging from ancient Chinese bone burning to modern astrology. It explores "pre-scientific" prediction systems and theoretical frameworks connecting them.",https://www.edx.org/learn/social-science/harvard-university-predictionx-omens-oracles-prophecies,Alyssa Goodman,Robert Wheeler Willson Professor of Applied Astronomy at Harvard University,None,"Institution: HarvardX; Subject: Social Sciences; Level: Introductory; Language: English; Length: 1 week, 3-5 hours per week; Part of PredictionX XSeries Program"
PredictionX: Lost Without Longitude,Explore the history of navigation from stars to satellites.,https://www.edx.org/learn/astronomy/harvard-university-predictionx-lost-without-longitude,Alyssa Goodman,Robert Wheeler Willson Professor of Applied Astronomy at Harvard University,None,"Institution: HarvardX; Subject: History; Level: Introductory; Language: English; Length: 1 week, 2-5 hours per week; Part of PredictionX XSeries Program"
PredictionX: John Snow and the Cholera Epidemic of 1854,An in-depth look at the 1854 London cholera epidemic in Soho and its importance for the field of epidemiology.,https://www.edx.org/learn/history/harvard-university-predictionx-john-snow-and-the-cholera-epidemic-of-1854,Alyssa Goodman,Robert Wheeler Willson Professor of Applied Astronomy at Harvard University,None,"Institution: HarvardX; Subject: History; Level: Introductory; Language: English; Length: 1 week, self-paced; Part of PredictionX XSeries Program"
Shakespeare and His World,"Explore the life, works, and times of William Shakespeare, from his birthplace in Stratford-upon-Avon to the London playhouses.",https://www.edx.org/learn/shakespeare/harvard-university-shakespeare-and-his-world,Stephen Greenblatt,John Cogan University Professor of the Humanities at Harvard University,None,"Institution: HarvardX; Subject: Literature; Level: Introductory; Language: English; Length: 4 weeks, 3-5 hours per week; Part of Shakespeare XSeries Program"
Rhetoric: The Art of Persuasive Writing and Public Speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,https://www.edx.org/learn/rhetoric/harvard-university-rhetoric-the-art-of-persuasive-writing-and-public-speaking,James Engell,Gurney Professor of English and Professor of Comparative Literature at Harvard University,None,"Institution: HarvardX; Subject: Humanities; Level: Introductory; Language: English; Length: 8 weeks, 2-3 hours per week; Part of Professional Certificate in Leadership and Communication"
Building your Screenplay,"Learn to strengthen your skills as a screenwriter, while diversifying your knowledge and understanding of the demands of global film and TV production.",https://www.edx.org/learn/screenplays/university-of-cambridge-building-your-screenplay,Abigail Docherty,Course Director at Institute of Continuing Education University of Cambridge,None,"Institution: University of Cambridge; Subject: Communication; Level: Intermediate; Language: English; Length: 4 weeks, 8-10 hours per week; Part of MicroMasters® Program in Writing for Performance and the Entertainment Industries"
Ancient Masterpieces of World Literature,"Examine how cultures of the ancient world defined themselves through literature and how their vision of literature contributes to our understanding of civilization, culture, and literature today.",https://www.edx.org/learn/literature/harvard-university-ancient-masterpieces-of-world-literature,"Martin Puchner, David Damrosch","Martin Puchner: Byron and Anita Wien Professor of Drama and of English and Comparative Literature at Harvard University. David Damrosch: Ernest Bernbaum Professor of Literature at Harvard University.",None,"Institution: HarvardX; Subject: Literature; Level: Introductory; Language: English; Length: 6 weeks, 3-6 hours per week; Associated skills: Collections, Writing"
First Nights - Monteverdi's L'Orfeo and the Birth of Opera,"Learn about Claudio Monteverdi's L'Orfeo, one of the first operas ever written.",https://www.edx.org/learn/music-arts/harvard-university-first-nights-monteverdis-lorfeo-and-the-birth-of-opera,Thomas Forrest Kelly,Morton B. Knafel Professor of Music at Harvard University,None,"Institution: HarvardX; Subject: Humanities; Level: Introductory; Language: English; Length: 3 weeks, 3-5 hours per week; Part of XSeries in Classical Works"
Dante Alighieri: Science and poetry in The Divine Comedy,Explore Dante's Divine Comedy through a discussion of the sources and references of the poetry and modern science,https://www.edx.org/learn/literature/universita-degli-studi-di-napoli-federico-ii-dante-alighieri-science-and-poetry-in-the-divine-comedy,Raffaele Giglio,Professor at Università di Napoli Federico II,None,"Institution: FedericaX; Subject: Literature; Level: Introductory; Language: English; Length: 4 weeks, 8-10 hours per week"
Pyramids of Giza: Ancient Egyptian Art and Archaeology,"Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom pharaohs and elites, tombs, temples, the Sphinx, and how new technology is unlocking their secrets.",https://www.edx.org/learn/archaeology/harvard-university-pyramids-of-giza-ancient-egyptian-art-and-archaeology,Peter Der Manuelian,Barbara Bell Professor of Egyptology at Harvard University,None,"Institution: HarvardX; Subject: Art & Culture; Level: Introductory; Language: English; Length: 8 weeks, 2-4 hours per week; Associated skills: Archaeology, 3D Modeling"